libpackagekit-glib2-18	1.3.4-3ubuntu1.2	amd64	optional
libpam-cap	1:2.75-10ubuntu2	amd64	optional
libpam-modules	1.7.0-5ubuntu3.2	amd64	required
libpam-modules-bin	1.7.0-5ubuntu3.2	amd64	required
libpam-runtime	1.7.0-5ubuntu3.2	all	required
libpam-systemd	259.5-0ubuntu3.4	amd64	standard
libpam0g	1.7.0-5ubuntu3.2	amd64	optional
libpci3	1:3.14.0-1build2	amd64	optional
libpcre2-8-0	10.46-1build1	amd64	required
libperl5.40	5.40.1-7ubuntu0.3	amd64	optional
libplist-2.0-4	2.7.0+git20250820-1build1	amd64	optional
libpng16-16t64	1.6.57-1	amd64	optional
libpolkit-agent-1-0	127-2ubuntu1.1	amd64	optional
libpolkit-gobject-1-0	127-2ubuntu1.1	amd64	optional
libpopt0	1.19+dfsg-2build1	amd64	optional
libproc-processtable-perl	0.637-1	amd64	optional
libproc2-0	2:4.0.4-9ubuntu1	amd64	required
libpsl5t64	0.21.2-1.1build2	amd64	optional
libpython3-stdlib	3.14.3-0ubuntu2	amd64	optional
libpython3.14	3.14.4-1ubuntu0.2	amd64	optional
libpython3.14-minimal	3.14.4-1ubuntu0.2	amd64	optional
libpython3.14-stdlib	3.14.4-1ubuntu0.2	amd64	optional
libreadline8t64	8.3-4	amd64	optional
librtmp1	2.4+20151223.gitfa8646d.1-3	amd64	optional
libsasl2-2	2.1.28+dfsg1-9ubuntu3	amd64	optional
libsasl2-modules	2.1.28+dfsg1-9ubuntu3	amd64	optional
libsasl2-modules-db	2.1.28+dfsg1-9ubuntu3	amd64	optional
libseccomp2	2.6.0-2ubuntu5	amd64	important
libselinux1	3.9-4build1	amd64	required
libsemanage-common	3.9-1build1	all	required
libsemanage2	3.9-1build1	amd64	required
libsepol2	3.9-2	amd64	required
libsframe3	2.46-3ubuntu2	amd64	optional
libsgutils2-1.48	1.48-3ubuntu3.1	amd64	optional
libslang2	2.3.3-5build1	amd64	optional
libsmartcols1	2.41.3-3ubuntu2.2	amd64	optional
libsnappy1v5	1.2.2-2	amd64	optional
libsort-naturally-perl	1.03-4	all	optional
libsqlite3-0	3.46.1-9ubuntu0.3	amd64	optional
libss2	1.47.2-3ubuntu4	amd64	required
libssh2-1t64	1.11.1-1ubuntu0.26.04.4	amd64	optional
libssl3t64	3.5.5-1ubuntu3.5	amd64	optional
libstdc++6	16-20260322-1ubuntu1	amd64	important
libstemmer0d	3.0.1-1	amd64	optional
libsystemd-shared	259.5-0ubuntu3.4	amd64	optional
libsystemd0	259.5-0ubuntu3.4	amd64	required
libtasn1-6	4.21.0-2	amd64	optional
libterm-readkey-perl	2.38-2build5	amd64	optional
libtext-charwidth-perl	0.04-11build4	amd64	required
libtext-wrapi18n-perl	0.06-10	all	required
libtinfo6	6.6+20251231-1	amd64	required
libtirpc-common	1.3.7-0.1	all	optional
libtirpc3t64	1.3.7-0.1	amd64	optional
libtraceevent1	1:1.8.7-1	amd64	optional
libuchardet0	0.0.8-2	amd64	optional
libudev1	259.5-0ubuntu3.4	amd64	required
libunistring5	1.3-2build1	amd64	optional
libupower-glib3	1.91.1-1	amd64	optional
liburcu8t64	0.15.6-1	amd64	optional
libusb-1.0-0	2:1.0.29-2build1	amd64	optional
libusbmuxd-2.0-7	2.1.1-1	amd64	optional
libuuid1	2.41.3-3ubuntu2.2	amd64	optional
libwrap0	7.6.q-36build2	amd64	optional
libx11-6	2:1.8.13-1	amd64	optional
libx11-data	2:1.8.13-1	all	optional
libxau6	1:1.0.11-1build2	amd64	optional
libxcb1	1.17.0-2ubuntu1	amd64	optional
libxdmcp6	1:1.1.5-2	amd64	optional
libxext6	2:1.3.4-1build3	amd64	optional
libxml2-16	2.15.2+dfsg-0.1ubuntu0.2	amd64	optional
libxmlb2	0.3.24-2	amd64	optional
libxmuu1	2:1.1.3-4	amd64	optional
libxtables12	1.8.11-2ubuntu3	amd64	optional
libxxhash0	0.8.3-2build1	amd64	important
libyaml-0-2	0.2.5-2build3	amd64	optional
libzstd1	1.5.7+dfsg-3	amd64	required
linux-base	4.15ubuntu5	all	optional
linux-firmware	20260319.git217ca6e4.1ubuntu	all	optional
linux-firmware-amd-graphics	20260319.git217ca6e4-0ubuntu3.1	all	optional
linux-firmware-amd-misc	20260319.git217ca6e4-0ubuntu1.1	all	optional
linux-firmware-broadcom-wireless	20260319.git217ca6e4-0ubuntu1.1	all	optional
linux-firmware-intel-graphics	20260319.git217ca6e4-0ubuntu2.1	all	optional
linux-firmware-intel-misc	20260319.git217ca6e4-0ubuntu1.2	all	optional
linux-firmware-intel-wireless	20260319.git217ca6e4-0ubuntu2.1	all	optional
linux-firmware-marvell-prestera	20260319.git217ca6e4-0ubuntu1.2	all	optional
linux-firmware-marvell-wireless	20260319.git217ca6e4-0ubuntu1.1	all	optional
linux-firmware-mediatek	20260319.git217ca6e4-0ubuntu1.2	all	optional
linux-firmware-mellanox-spectrum	20260319.git217ca6e4-0ubuntu1.1	all	optional
